Data,pH-,Cloro,Antialghe,Decloratore,Flocculante,Note
sab 16 mag 26,1000,,,,1000,
dom 17 mag 26,1500,,,,1000,
lun 18 mag 26,1200,,2000,,,
mar 19 mag 26,1000,500,2000,,,
mer 20 mag 26,500,,,,,
gio 21 mag 26,,,,,,
ven 22 mag 26,,,,,,
sab 23 mag 26,,300,,,,
dom 24 mag 26,,,,,,
lun 25 mag 26,,,,,,"Non hanno ancora comperato i prodotti, non ho pH-"
mar 26 mag 26,,,,,,
mer 27 mag 26,,,,,,
gio 28 mag 26,,150,,,,
ven 29 mag 26,,100,,,,
sab 30 mag 26,,100,,,,
dom 31 mag 26,,,500,,,
lun 1 giu 26,,,,,,
mar 2 giu 26,,100,,,,
mer 3 giu 26,,,,,,
gio 4 giu 26,,100,,,,
ven 5 giu 26,,100,,,,
sab 6 giu 26,750,,,,,
dom 7 giu 26,,200,,,,
lun 8 giu 26,2000,,,,,
mar 9 giu 26,,,,,,
mer 10 giu 26,,100,,,,
gio 11 giu 26,900,,,,,
ven 12 giu 26,,90,,,,
sab 13 giu 26,300,,,,,
dom 14 giu 26,2000,,,,,
lun 15 giu 26,,250,,,,Arrivato ipoclorito di calcio granulare
mar 16 giu 26,,,,,,
mer 17 giu 26,600,,,,,
gio 18 giu 26,,,,,,
ven 19 giu 26,600,90,,,,
sab 20 giu 26,700,100,,,,
dom 21 giu 26,1000,150,,,,
lun 22 giu 26,,,,,,
mar 23 giu 26,1000,80,,,,
mer 24 giu 26,800,90,1000,,,
gio 25 giu 26,1000,250,,,,
ven 26 giu 26,1000,200,,,,
sab 27 giu 26,1000,200,,,,
dom 28 giu 26,1000,400,,,,
lun 29 giu 26,,,,,,
mar 30 giu 26,1000,250,,,,
mer 1 lug 26,1000,,,,,
gio 2 lug 26,1000,200,,,,
ven 3 lug 26,1000,,1000,,,
sab 4 lug 26,1000,200,,,,
dom 5 lug 26,,175,,,,
lun 6 lug 26,1000,100,,,,
mar 7 lug 26,1000,150,,,,
mer 8 lug 26,,,,,,
gio 9 lug 26,,200,,,,
ven 10 lug 26,500,200,,,,
sab 11 lug 26,500,200,,,,
dom 12 lug 26,500,250,,,,
lun 13 lug 26,300,100,,,,
mar 14 lug 26,150,200,1000,,,Temperatura Alta
mer 15 lug 26,200,200,,,,Temperatura Alta
gio 16 lug 26,150,250,,,,Temperatura Alta
ven 17 lug 26,,,,,,
sab 18 lug 26,,,,,,
dom 19 lug 26,,,,,,
lun 20 lug 26,,,,,,
mar 21 lug 26,,,,,,
mer 22 lug 26,,,,,,
gio 23 lug 26,,,,,,
ven 24 lug 26,,,,,,
sab 25 lug 26,,,,,,
dom 26 lug 26,,,,,,
lun 27 lug 26,,,,,,
mar 28 lug 26,,,,,,
mer 29 lug 26,,,,,,
gio 30 lug 26,,,,,,
ven 31 lug 26,,,,,,
sab 1 ago 26,,,,,,
dom 2 ago 26,,,,,,
lun 3 ago 26,,,,,,
mar 4 ago 26,,,,,,
mer 5 ago 26,,,,,,
gio 6 ago 26,,,,,,
ven 7 ago 26,,,,,,
sab 8 ago 26,,,,,,
dom 9 ago 26,,,,,,
lun 10 ago 26,,,,,,
mar 11 ago 26,,,,,,
mer 12 ago 26,,,,,,
gio 13 ago 26,,,,,,
ven 14 ago 26,,,,,,
sab 15 ago 26,,,,,,
dom 16 ago 26,,,,,,
lun 17 ago 26,,,,,,
mar 18 ago 26,,,,,,
mer 19 ago 26,,,,,,
gio 20 ago 26,,,,,,
ven 21 ago 26,,,,,,
sab 22 ago 26,,,,,,
dom 23 ago 26,,,,,,
lun 24 ago 26,,,,,,
mar 25 ago 26,,,,,,
mer 26 ago 26,,,,,,
gio 27 ago 26,,,,,,
ven 28 ago 26,,,,,,
sab 29 ago 26,,,,,,
dom 30 ago 26,,,,,,
lun 31 ago 26,,,,,,
mar 1 set 26,,,,,,
mer 2 set 26,,,,,,
gio 3 set 26,,,,,,
ven 4 set 26,,,,,,
sab 5 set 26,,,,,,
dom 6 set 26,,,,,,
lun 7 set 26,,,,,,
mar 8 set 26,,,,,,
mer 9 set 26,,,,,,
gio 10 set 26,,,,,,
ven 11 set 26,,,,,,
sab 12 set 26,,,,,,
dom 13 set 26,,,,,,
lun 14 set 26,,,,,,
mar 15 set 26,,,,,,
mer 16 set 26,,,,,,
gio 17 set 26,,,,,,
ven 18 set 26,,,,,,
sab 19 set 26,,,,,,
dom 20 set 26,,,,,,
lun 21 set 26,,,,,,
mar 22 set 26,,,,,,
mer 23 set 26,,,,,,
gio 24 set 26,,,,,,
ven 25 set 26,,,,,,
sab 26 set 26,,,,,,
dom 27 set 26,,,,,,
lun 28 set 26,,,,,,
mar 29 set 26,,,,,,
mer 30 set 26,,,,,,
gio 1 ott 26,,,,,,
ven 2 ott 26,,,,,,
sab 3 ott 26,,,,,,
dom 4 ott 26,,,,,,
