Data,ora,pH,Ipoclorito,dicloro,tricloro,antialghe,flocculante
ven 21 ago 2026,07:00,200,,,,,
,19:00,,150,,,,
sab 22 ago 2026,07:00,150,,,,,
,19:00,,150,,,,
dom 23 ago 2026,07:00,250,,,,,
,19:00,,120,,,,
lun 24 ago 2026,07:00,,,,,,
,19:00,,150,,,,
mar 25 ago 2026,07:00,250,,,,,
,19:00,,150,,,,
mer 26 ago 2026,07:00,200,,,,,
,19:00,,100,,,,
gio 27 ago 2026,07:00,200,,,,,
,19:00,,150,,,,
ven 28 ago 2026,07:00,500,,,,,
,19:00,,150,,,,
sab 29 ago 2026,07:00,500,,,,,
,19:00,,100,,,,
dom 30 ago 2026,07:00,300,,,,,
,19:00,,150,,,,
lun 31 ago 2026,07:00,300,,,,,
,19:00,,100,,,,
mar 1 set 2026,07:00,150,,,,,
,19:00,,,150,,,
mer 2 set 2026,07:00,100,,,,,
,19:00,,,150,,,
gio 3 set 2026,07:00,100,,,,,
,19:00,,,150,,,
ven 4 set 2026,07:00,150,,,,,
,19:00,,,100,,,
sab 5 set 2026,07:00,200,,,,,
,19:00,,,180,,,
dom 6 set 2026,07:00,200,,,,,
,19:00,,,100,,,
lun 7 set 2026,07:00,100,,,,,
,19:00,,100,,,,
mar 8 set 2026,07:00,,,,,,
,19:00,,,,,,
mer 9 set 2026,07:00,,,,,,
,19:00,,,,,,
gio 10 set 2026,07:00,,,,,,
,19:00,,,,,,
ven 11 set 2026,07:00,,,,,,
,19:00,,,,,,
sab 12 set 2026,07:00,,,,,,
,19:00,,,,,,
dom 13 set 2026,07:00,,,,,,
,19:00,,,,,,
lun 14 set 2026,07:00,,,,,,
,19:00,,,,,,
mar 15 set 2026,07:00,,,,,,
,19:00,,,,,,
mer 16 set 2026,07:00,,,,,,
,19:00,,,,,,
gio 17 set 2026,07:00,,,,,,
,19:00,,,,,,
ven 18 set 2026,07:00,,,,,,
,19:00,,,,,,
sab 19 set 2026,07:00,,,,,,
,19:00,,,,,,
dom 20 set 2026,07:00,,,,,,
,19:00,,,,,,
lun 21 set 2026,07:00,,,,,,
,19:00,,,,,,
mar 22 set 2026,07:00,,,,,,
,19:00,,,,,,
mer 23 set 2026,07:00,,,,,,
,19:00,,,,,,
gio 24 set 2026,07:00,,,,,,
,19:00,,,,,,
ven 25 set 2026,07:00,,,,,,
,19:00,,,,,,
sab 26 set 2026,07:00,,,,,,
,19:00,,,,,,
dom 27 set 2026,07:00,,,,,,
,19:00,,,,,,
lun 28 set 2026,07:00,,,,,,
,19:00,,,,,,
mar 29 set 2026,07:00,,,,,,
,19:00,,,,,,
mer 30 set 2026,07:00,,,,,,
,19:00,,,,,,
gio 1 ott 2026,07:00,,,,,,
,19:00,,,,,,
ven 2 ott 2026,07:00,,,,,,
,19:00,,,,,,
sab 3 ott 2026,07:00,,,,,,
,19:00,,,,,,
dom 4 ott 2026,07:00,,,,,,
,19:00,,,,,,
lun 5 ott 2026,07:00,,,,,,
,19:00,,,,,,
