Data,Ora,Area Pulita,Intervento,Prodotto Usato,Incaricato,Firma
gio 21 mag 26,07:00,G S M,"disinfezione lettini e zona piedi nudi, ombrelloni locale tecnico","Cloro,",Paolo,
ven 22 mag 26,07:00,G,"pulizia robot, lavato solarum", acido,Paolo,
sab 23 mag 26,07:00,G,,,Paolo,
dom 24 mag 26,07:00,G,,,Paolo,
lun 25 mag 26,07:00,G S,"disinfezione lettini e zona piedi nudi, ombrelloni locale tecnico","Cloro,",Paolo,
mar 26 mag 26,07:00,G,,,Paolo,
mer 27 mag 26,07:00,G,trattato linea battente pulito cestelli skimmer, acido,Paolo,
gio 28 mag 26,07:00,G,,,Paolo,
ven 29 mag 26,07:00,G,"pulizia robot, lavato solarum", acido,Paolo,
sab 30 mag 26,07:00,G,,,Paolo,
dom 31 mag 26,07:00,G,,,Paolo,
lun 1 giu 26,07:00,GSM,"disinfezione lettini e zona piedi nudi, ombrelloni locale tecnico","Cloro,",Paolo,
mar 2 giu 26,07:00,G,,,Paolo,
mer 3 giu 26,07:00,G,trattato linea battente pulito cestelli skimmer, acido,Paolo,
gio 4 giu 26,07:00,G,,,Paolo,
ven 5 giu 26,07:00,G,"pulizia robot, lavato solarum", acido,Paolo,
sab 6 giu 26,07:00,G,,,Paolo,
dom 7 giu 26,07:00,G,,,Paolo,
lun 8 giu 26,07:00,G S,"disinfezione lettini e zona piedi nudi, ombrelloni locale tecnico","Cloro, ",Paolo,
mar 9 giu 26,07:00,G,,,Paolo,
mer 10 giu 26,07:00,G,trattato linea battente pulito cestelli skimmer,"Cloro, ",Paolo,
gio 11 giu 26,07:00,G,,,Paolo,
ven 12 giu 26,07:00,G,"pulizia robot, lavato solarum",", acido",Paolo,
sab 13 giu 26,07:00,G,,,Paolo,
dom 14 giu 26,07:00,G,,,Paolo,
lun 15 giu 26,07:00,G S,lavato a pressione zona piedi nudi e lettini,"Cloro, ",Paolo,
mar 16 giu 26,07:00,G,,,Paolo,
mer 17 giu 26,07:00,G ,lavato soffione doccia,acido,Paolo,
gio 18 giu 26,07:00,G ,,,Paolo,
ven 19 giu 26,07:00,G ,pulizia robot,acido,Paolo,
sab 20 giu 26,07:00,G,,,Paolo,
dom 21 giu 26,07:00,G,,,Paolo,
lun 22 giu 26,07:00,GS,lavato a pressione zona piedi nudi,"Cloro,",Paolo,
mar 23 giu 26,07:00,G,,,Paolo,
mer 24 giu 26,07:00,G,lavato soffione doccia,acido,Paolo,
gio 25 giu 26,07:00,G,,,Paolo,
ven 26 giu 26,07:00,G,pulizia robot,acido,Paolo,
sab 27 giu 26,07:00,G,,,Paolo,
dom 28 giu 26,07:00,G,,,Paolo,
lun 29 giu 26,07:00,G,,,Paolo,
mar 30 giu 26,07:00,G,Lavato a pressione Lettini e Ombrelloni,"Cloro,",Paolo,
mer 1 lug 26,07:00,GSM,lavato a pressione zona piedi nudi,,Paolo,
gio 2 lug 26,07:00,G,"Tremporali, lavato tutto a pressione, era pieno d foglie","Cloro,",Paolo,
ven 3 lug 26,07:00,G ,Raccolto foglie solarium,,Paolo,
sab 4 lug 26,07:00,G,,,Paolo,
dom 5 lug 26,07:00,G,,,Paolo,
lun 6 lug 26,07:00,GS,"Pulito soffione doccia, pulito Robot",acido,Paolo,
mar 7 lug 26,07:00,G,,,Paolo,
mer 8 lug 26,07:00,G,Pulito Locale Tecnico,,Paolo,
gio 9 lug 26,07:00,G,,,Paolo,
ven 10 lug 26,07:00,G,pulizia robot,acido,Paolo,
sab 11 lug 26,07:00,G,,,,
dom 12 lug 26,07:00,G,,,,
lun 13 lug 26,07:00,,,,,
mar 14 lug 26,07:00,,,,,
mer 15 lug 26,07:00,,,,,
gio 16 lug 26,07:00,,,,,
ven 17 lug 26,07:00,,,,,
sab 18 lug 26,07:00,,,,,
dom 19 lug 26,07:00,,,,,
lun 20 lug 26,07:00,,,,,
mar 21 lug 26,07:00,,,,,
mer 22 lug 26,07:00,,,,,
gio 23 lug 26,07:00,,,,,
ven 24 lug 26,07:00,,,,,
sab 25 lug 26,07:00,,,,,
dom 26 lug 26,07:00,,,,,
lun 27 lug 26,07:00,,,,,
mar 28 lug 26,07:00,,,,,
mer 29 lug 26,07:00,,,,,
gio 30 lug 26,07:00,,,,,
ven 31 lug 26,07:00,,,,,
sab 1 ago 26,07:00,,,,,
dom 2 ago 26,07:00,,,,,
lun 3 ago 26,07:00,,,,,
mar 4 ago 26,07:00,,,,,
mer 5 ago 26,07:00,,,,,
gio 6 ago 26,07:00,,,,,
ven 7 ago 26,07:00,,,,,
sab 8 ago 26,07:00,,,,,
dom 9 ago 26,07:00,,,,,
lun 10 ago 26,07:00,,,,,
mar 11 ago 26,07:00,,,,,
mer 12 ago 26,07:00,,,,,
gio 13 ago 26,07:00,,,,,
ven 14 ago 26,07:00,,,,,
sab 15 ago 26,07:00,,,,,
dom 16 ago 26,07:00,,,,,
lun 17 ago 26,07:00,,,,,
mar 18 ago 26,07:00,,,,,
mer 19 ago 26,07:00,,,,,
gio 20 ago 26,07:00,,,,,
ven 21 ago 26,07:00,,,,,
sab 22 ago 26,07:00,,,,,
dom 23 ago 26,07:00,,,,,
lun 24 ago 26,07:00,,,,,
mar 25 ago 26,07:00,,,,,
mer 26 ago 26,07:00,,,,,
gio 27 ago 26,07:00,,,,,
ven 28 ago 26,07:00,,,,,
sab 29 ago 26,07:00,,,,,
dom 30 ago 26,07:00,,,,,
lun 31 ago 26,07:00,,,,,
mar 1 set 26,07:00,,,,,
mer 2 set 26,07:00,,,,,
gio 3 set 26,07:00,,,,,
ven 4 set 26,07:00,,,,,
sab 5 set 26,07:00,,,,,
dom 6 set 26,07:00,,,,,
lun 7 set 26,07:00,,,,,
mar 8 set 26,07:00,,,,,
mer 9 set 26,07:00,,,,,
gio 10 set 26,07:00,,,,,
ven 11 set 26,07:00,,,,,
sab 12 set 26,07:00,,,,,
dom 13 set 26,07:00,,,,,
lun 14 set 26,07:00,,,,,
mar 15 set 26,07:00,,,,,
mer 16 set 26,07:00,,,,,
gio 17 set 26,07:00,,,,,
ven 18 set 26,07:00,,,,,
sab 19 set 26,07:00,,,,,
dom 20 set 26,07:00,,,,,
lun 21 set 26,07:00,,,,,
mar 22 set 26,07:00,,,,,
mer 23 set 26,07:00,,,,,
gio 24 set 26,07:00,,,,,
ven 25 set 26,07:00,,,,,
sab 26 set 26,07:00,,,,,
dom 27 set 26,07:00,,,,,
lun 28 set 26,07:00,,,,,
mar 29 set 26,07:00,,,,,
mer 30 set 26,07:00,,,,,
gio 1 ott 26,07:00,,,,,
ven 2 ott 26,07:00,,,,,
sab 3 ott 26,07:00,,,,,
dom 4 ott 26,07:00,,,,,
lun 5 ott 26,07:00,,,,,
mar 6 ott 26,07:00,,,,,
mer 7 ott 26,07:00,,,,,
gio 8 ott 26,07:00,,,,,
ven 9 ott 26,07:00,,,,,
sab 10 ott 26,07:00,,,,,
dom 11 ott 26,07:00,,,,,
lun 12 ott 26,07:00,,,,,
mar 13 ott 26,07:00,,,,,
mer 14 ott 26,07:00,,,,,
gio 15 ott 26,07:00,,,,,
ven 16 ott 26,07:00,,,,,
sab 17 ott 26,07:00,,,,,
dom 18 ott 26,07:00,,,,,
lun 19 ott 26,07:00,,,,,
mar 20 ott 26,07:00,,,,,
mer 21 ott 26,07:00,,,,,
gio 22 ott 26,07:00,,,,,
ven 23 ott 26,07:00,,,,,
sab 24 ott 26,07:00,,,,,
dom 25 ott 26,07:00,,,,,
